WORD	BFRQ	CNC	KFCAT	FAM	KFSMP	IMG	KFFRQ	NLET	CMEAN	NPHN	NSYL	T-LFRQ
MAGAZINE	7	588	14	585	28	588	39	8	493	7	3	966
JANUARY	6	-	10	-	32	-	53	7	-	8	3	-
ASSURES	-	-	-	-	-	-	-	7	-	-	-	-
UNIFICATION	-	266	4	353	5	323	9	11	-	-	5	1
LUKE	-	-	3	-	3	-	3	4	-	-	1	-
WEALTH	-	370	8	557	17	500	22	6	528	4	1	243
SEND	25	324	12	529	63	423	74	4	384	4	1	746
SPARKLES	-	-	-	-	-	-	-	8	-	-	-	-
VITALS	-	-	2	-	2	-	2	6	-	5	2	-
START	66	-	15	-	107	-	154	5	-	4	1	2207
STANDING	7	-	13	-	74	-	101	8	-	7	2	130
KICKED	2	-	-	-	-	-	-	6	-	-	-	-
GUTTED	1	-	-	-	-	-	-	6	-	-	-	-
REACTING	-	-	-	-	-	-	-	8	-	-	-	-
FEEDS	-	-	-	-	-	-	-	5	-	-	-	-
RONALD	-	-	-	-	-	-	-	6	-	-	-	-
CONTAMINATE	-	-	1	-	1	-	1	11	-	10	4	5
IMPERIALIST	-	-	1	-	1	-	1	11	-	11	4	9
TELL	119	306	15	596	154	350	268	4	465	3	1	3800
VERTICALLY	-	-	-	-	-	-	-	10	-	-	-	-
WARNING	4	-	11	-	30	-	44	7	-	5	2	131
FLOWERY	1	-	-	-	-	-	-	7	-	6	3	6
ABUSED	-	-	-	-	-	-	-	6	-	-	-	-
FLATTENED	-	-	-	-	-	-	-	9	-	-	-	-
SCORPION	-	590	-	342	-	596	-	8	-	7	2	6
STROKE	-	463	7	511	14	481	19	6	441	5	1	191
MERELY	23	-	13	-	100	-	135	6	-	-	3	664
CRUSHED	-	-	-	-	-	-	-	7	-	-	-	-
LYRICS	-	-	-	-	-	-	-	6	-	-	-	-
BOTTOMLESS	-	-	-	-	-	-	-	10	-	-	-	-
DISTURBANCE	-	-	4	-	9	-	10	11	-	9	3	39
BISEXUAL	-	-	-	-	-	-	-	8	-	10	3	-
JESTER	-	-	-	-	-	-	-	6	-	5	2	-
RESIN	-	-	2	-	3	-	9	5	-	5	2	8
DELAY	3	-	9	-	19	-	21	5	-	4	2	162
COPY	26	-	11	-	25	-	38	4	-	4	2	276
ALTERNATIVE	4	-	9	518	24	268	34	11	-	9	4	36
COLLISIONS	-	-	-	-	-	-	-	10	-	-	-	-
BELLES	-	-	-	-	-	-	-	6	-	-	-	-
BRAWNY	-	-	-	-	-	-	-	6	-	5	2	3
BREACH	1	-	6	-	6	-	6	6	-	5	1	26
DEFINES	-	-	-	-	-	-	-	7	-	-	-	-
CARRIES	2	-	-	-	-	-	-	7	-	-	-	-
UNFORGIVING	-	-	-	-	-	-	-	11	-	9	4	-
BIOCHEMISTRY	-	-	-	-	-	-	-	12	-	-	-	-
CAROUSEL	-	-	-	-	-	-	-	8	-	-	3	-
LABOURED	-	-	-	-	-	-	-	8	-	-	-	-
ADONAI	-	-	-	-	-	-	-	6	-	-	3	-
COMPLEXITY	1	-	8	-	11	-	14	10	-	11	4	12
HONKED	-	-	-	-	-	-	-	6	-	-	-	-
REFLECTORS	-	-	-	-	-	-	-	10	-	-	-	-
MIXER	-	574	1	518	1	536	2	5	450	5	2	12
CLOSING	-	-	-	-	-	-	-	7	-	-	-	-
SPYING	-	-	-	-	-	-	-	6	-	-	-	-
DONATIONS	-	-	-	-	-	-	-	9	-	-	-	-
CATFISH	-	614	1	416	1	544	2	7	356	6	2	32
ALUM	-	-	1	-	1	-	1	4	-	4	2	-
GNAT	-	529	-	440	-	550	-	4	338	3	1	3
GUIDED	-	-	-	-	-	-	-	6	-	-	-	-
OVERCAME	-	-	-	-	-	-	-	8	-	-	-	-
DUCT	-	-	1	368	1	-	1	4	-	4	1	5
SNIPING	-	-	1	-	1	-	1	7	-	-	2	-
BOVINE	-	-	1	-	2	-	2	6	-	5	2	-
CANDID	-	-	3	374	3	337	3	6	-	6	2	19
DENSE	1	353	7	524	9	461	9	5	425	4	1	35
GODSPEED	-	-	-	-	-	-	-	8	-	-	-	-
SURVEILLANCE	-	-	5	-	6	-	6	12	-	8	3	7
GUNNY	-	-	1	-	1	-	6	5	-	4	2	-
EMPRESS	-	-	-	-	-	-	-	7	-	6	2	18
UNCLE	3	580	11	557	27	574	57	5	455	-	1	730
UNCLE	3	580	11	557	27	574	57	5	455	4	2	730
WORE	3	-	11	-	47	-	65	4	-	2	1	383
RECORDER	5	-	5	-	5	-	7	8	-	6	3	13
DIAPHRAGM	-	-	2	-	2	-	7	9	-	-	2	21
DIAPHRAGM	-	-	2	-	2	-	7	9	-	7	3	21
VEIN	-	553	9	496	14	546	25	4	451	3	1	88
ECCENTRIC	-	-	4	422	8	380	11	9	-	9	3	22
DISTRIBUTION	1	-	8	-	38	-	85	12	-	12	4	98
CHRISTIAN	1	-	12	-	43	-	144	9	-	8	2	-
PEDESTRIANS	-	-	-	-	-	-	-	11	-	-	-	-
COURTESY	-	-	5	-	7	-	7	8	-	6	3	84
SHIRLEY	-	-	2	-	3	-	5	7	-	-	2	-
SCARCE	-	297	5	508	6	380	6	6	466	4	1	51
FUNKY	-	-	-	-	-	-	-	5	-	5	2	-
BANGING	2	-	-	-	-	-	-	7	-	-	-	-
SQUAD	-	-	5	-	8	-	18	5	-	5	1	69
SUPPRESSES	-	-	-	-	-	-	-	10	-	-	-	-
PACT	-	372	4	361	5	364	5	4	-	4	1	13
COMPARING	-	-	-	-	-	-	-	9	-	-	-	-
ADVENTURE	-	-	6	-	12	-	14	9	-	8	3	277
BONDED	-	-	2	-	2	-	2	6	-	-	2	-
WIPED	-	-	-	-	-	-	-	5	-	-	-	-
AMAZONS	-	-	-	-	-	-	-	7	-	-	-	-
OVERCROWDING	-	-	-	-	-	-	-	12	-	-	-	-
SPAN	1	352	8	449	14	381	19	4	340	4	1	37
OUTWEIGH	-	-	2	-	2	-	2	8	-	4	2	8
REVENGE	-	305	5	489	7	429	7	7	-	6	2	54
FLAW	-	-	3	-	3	-	3	4	-	3	1	24
ETERNAL	-	214	9	500	21	403	29	7	455	5	3	87
STUDYING	8	-	-	-	-	-	-	8	-	-	-	-
NAPKIN	-	585	3	495	3	582	3	6	357	6	2	79
LOOSER	-	-	-	-	-	-	-	6	-	-	-	-
RETINAS	-	-	-	-	-	-	-	7	-	-	-	-
REPORTING	-	-	-	-	-	-	-	9	-	-	-	-
HOLY	3	-	10	-	23	-	49	4	-	4	2	98
GIRL	44	607	15	645	101	634	220	4	587	3	1	4058
STEEL	-	586	12	553	31	534	45	5	434	4	1	297
DOWNSIDE	-	-	-	-	-	-	-	8	-	-	2	-
JEWELLED	-	-	-	-	-	-	-	8	-	-	-	-
LYING	2	-	11	-	33	-	36	5	-	-	1	351
TAGS	2	-	-	-	-	-	-	4	-	-	-	-
BEER	31	587	11	604	22	598	34	4	460	2	1	133
SKIES	-	-	-	-	-	-	-	5	-	-	-	-
ROSS	-	-	5	-	6	-	11	4	-	-	1	-
CLAMMY	-	393	2	459	2	466	2	6	415	5	2	8
POINTER	-	-	3	-	3	-	3	7	-	5	2	17
ACCEPT	11	-	12	-	48	-	72	6	-	6	2	667
SACRIFICING	-	-	-	-	-	-	-	11	-	-	-	-
VEIL	-	560	7	421	7	516	8	4	379	3	1	129
HOUSES	5	-	-	-	-	-	-	6	-	-	-	-
LSD	1	-	-	-	-	-	-	3	-	-	-	-
MOOCH	-	-	-	-	-	-	-	5	-	4	1	-
TRIAL	4	446	14	509	39	516	134	5	433	-	1	243
TRIAL	4	446	14	509	39	516	134	5	433	5	2	243
TABLE	19	604	14	599	106	582	198	5	423	4	2	1325
YOU	4817	370	15	632	297	400	3286	3	432	2	1	42581
CHASER	-	-	-	-	-	-	-	6	-	5	2	-
FALL	7	409	14	572	106	547	147	4	467	3	1	1000
DISAPPOINT	-	331	-	537	-	351	-	10	421	8	3	153
ASSURING	-	-	-	-	-	-	-	8	-	-	-	-
TOTING	-	-	-	-	-	-	-	6	-	-	-	-
CHASE	-	-	9	-	13	-	18	5	-	4	1	142
HUNT	1	416	8	523	9	527	10	4	457	4	1	353
MICHELLE	-	-	-	-	-	-	-	8	-	-	-	-
AVOCATION	-	-	1	-	1	-	1	9	-	8	4	6
ARCHAIC	-	-	2	-	3	-	5	7	-	5	3	7
BRITTLE	-	-	3	-	3	-	3	7	-	5	2	20
PRINCE	-	542	6	506	14	606	33	6	497	5	1	217
PRACTICALLY	16	-	-	-	-	-	-	11	-	-	-	-
LESSEN	-	287	4	457	5	251	5	6	358	4	2	58
ORGANIZING	3	-	-	-	-	-	-	10	-	-	-	-
SEAS	-	-	-	-	-	-	-	4	-	-	-	-
AGGRAVATING	-	-	-	-	-	-	-	11	-	-	-	-
PLEA	-	308	6	478	9	347	11	4	416	3	1	43
PLAY	64	468	15	586	106	498	200	4	497	3	1	2606
JOSS	-	-	1	-	1	-	1	4	-	3	1	-
SOONER	6	-	9	-	16	-	17	6	-	-	2	-
CAESAR	-	-	4	-	5	-	6	6	-	-	2	-
RAMP	1	538	4	504	5	527	6	4	344	4	1	15
SMART	2	304	9	602	18	396	21	5	515	4	1	477
VERMIN	-	-	-	-	-	-	-	6	-	5	2	11
BICYCLES	-	-	-	-	-	-	-	8	-	-	-	-
WATERFALLS	-	-	-	-	-	-	-	10	-	-	-	-
BASAL	-	-	-	-	-	-	-	5	-	4	2	1
STRUTTING	-	-	-	-	-	-	-	9	-	-	-	-
ITCHING	1	-	-	-	-	-	-	7	-	-	-	-
NIPPLE	-	-	-	-	-	-	-	6	-	-	1	-
NIPPLE	-	-	-	-	-	-	-	6	-	4	2	-
INFURIATING	-	-	-	-	-	-	-	11	-	-	-	-
COW	1	621	9	529	12	632	29	3	474	2	1	218
AGREEMENTS	-	-	-	-	-	-	-	10	-	-	-	-
DIGGER	-	-	1	-	1	-	2	6	-	4	2	11
CAST	3	502	13	495	30	483	45	4	385	4	1	341
QUOTED	1	-	-	-	-	-	-	6	-	-	-	-
AIRCRAFT	-	-	10	-	19	-	70	8	-	6	2	17
ENDEAVOURS	-	-	-	-	-	-	-	10	-	-	-	-
YAM	-	-	-	-	-	-	-	3	-	3	1	8
SPILLED	-	-	-	-	-	-	-	7	-	-	-	-
UNICORNS	-	-	-	-	-	-	-	8	-	-	-	-
MAINTAIN	7	-	12	-	46	-	60	8	-	6	2	264
DATED	-	-	-	-	-	-	-	5	-	-	-	-
INSTITUTIONS	10	-	-	-	-	-	-	12	-	-	-	-
SEATING	1	-	3	-	3	-	5	7	-	-	2	-
PALM	-	596	7	515	13	555	22	4	421	3	1	172
HERMITS	-	-	-	-	-	-	-	7	-	-	-	-
SPREAD	11	-	13	-	70	-	83	6	-	5	1	519
VARIABLES	-	-	-	-	-	-	-	9	-	-	-	-
EXPLODE	3	-	5	-	6	-	6	7	-	7	2	63
INITIALLY	4	-	6	-	15	-	18	9	-	-	4	-
SUCCUMBED	1	-	-	-	-	-	-	9	-	-	-	-
RESTRAINT	-	-	6	-	11	-	11	9	-	8	2	45
TUXEDOS	-	-	-	-	-	-	-	7	-	-	-	-
LARVAE	-	-	1	-	1	-	6	6	-	4	2	-
LIVELIHOOD	-	-	5	-	5	-	5	10	-	8	3	30
CLIPPERS	-	-	-	-	-	-	-	8	-	-	-	-
BASICALLY	23	-	-	-	-	-	-	9	-	-	-	-
RHINO	-	-	-	-	-	-	-	5	-	4	2	17
INTERCHANGEABLE	-	-	3	-	3	-	3	15	-	-	4	4
INTERCHANGEABLE	-	-	3	-	3	-	3	15	-	12	5	4
CARBON	-	511	3	470	7	445	30	6	352	5	2	26
TERRORIZING	-	-	-	-	-	-	-	11	-	-	-	-
ADJOURNED	-	-	-	-	-	-	-	9	-	-	-	-
RARE	9	327	11	559	36	439	41	4	482	2	1	172
FORM	25	438	14	553	171	452	370	4	389	3	1	792
OUTLAWS	-	-	-	-	-	-	-	7	-	-	-	-
YEAH	854	-	-	-	-	-	-	4	-	-	-	-
EXAMINING	-	-	-	-	-	-	-	9	-	-	-	-
LATELY	7	-	-	-	-	-	-	6	-	-	-	-
ARRANGEMENT	3	308	12	525	28	316	34	11	-	9	3	298
HUMILIATION	1	338	4	501	6	352	6	11	420	11	5	55
PLOVER	-	-	-	-	-	-	-	6	-	5	2	3
ORDERING	-	-	-	-	-	-	-	8	-	-	-	-
CYBERNETICS	-	-	-	-	-	-	-	11	-	10	4	-
BLENDER	-	-	-	-	-	-	-	7	-	6	2	-
PLAYED	6	-	-	-	-	-	-	6	-	-	-	-
MOSCOW	-	-	-	-	-	-	-	6	-	-	-	-
MINESTRONE	-	-	-	-	-	-	-	10	-	-	-	-
NOTIFIED	-	-	-	-	-	-	-	8	-	-	-	-
PRESENTING	2	-	-	-	-	-	-	10	-	-	-	-
TORMENTS	-	-	-	-	-	-	-	8	-	-	-	-
JIM	-	-	-	-	-	-	-	3	-	-	-	-
TEMPTING	1	-	1	-	2	-	2	8	-	-	2	19
STUNNED	1	-	-	-	-	-	-	7	-	-	-	-
WANDERING	6	-	6	-	7	-	7	9	-	-	3	-
BASIS	12	-	14	-	112	-	184	5	-	5	2	204
PHARMACEUTICAL	-	-	2	-	2	-	2	14	-	12	5	-
SCIENTISTS	2	-	-	-	-	-	-	10	-	-	-	-
CONNECT	2	-	3	-	3	-	3	7	-	6	2	144
DECIDE	19	-	12	-	37	-	40	6	-	5	2	820
SPAS	-	-	-	-	-	-	-	4	-	-	-	-
PRODUCE	18	432	13	534	63	396	82	7	418	7	2	601
MOTION	1	367	14	541	37	416	55	6	454	5	2	301
PENALTIES	-	-	-	-	-	-	-	9	-	-	-	-
POPE	5	593	7	489	16	576	40	4	436	3	1	-
NORTON	-	-	-	-	-	-	-	6	-	-	-	-
TABLESPOONS	-	-	-	-	-	-	-	11	-	-	-	-
WHACKED	-	-	-	-	-	-	-	7	-	-	-	-
CONSTANCE	-	-	-	-	-	-	-	9	-	-	-	-
DRANK	-	-	6	-	15	-	19	5	-	5	1	130
DETERMINE	-	-	12	539	67	295	107	9	-	7	3	312
MALES	1	-	-	-	-	-	-	5	-	-	-	-
ACTIVITIES	3	-	-	-	-	-	-	10	-	-	-	-
FAT	5	540	13	609	37	574	60	3	-	3	1	512
ESCALATING	-	-	-	-	-	-	-	10	-	-	-	-
DIFFERENCES	1	-	-	-	-	-	-	11	-	-	-	-
HIKE	-	-	4	-	4	-	4	4	-	3	1	57
MANUFACTURING	2	-	-	-	-	-	-	13	-	-	-	-
STARFISH	-	-	-	-	-	-	-	8	-	6	2	3
REGARDLESS	1	-	10	-	32	-	38	10	-	-	3	84
FORD	-	-	8	-	16	-	24	4	-	3	1	89
MASSACRED	-	-	-	-	-	-	-	9	-	-	-	-
ABYSS	-	450	4	293	4	453	4	5	323	4	2	5
SHOELACES	-	-	-	-	-	-	-	9	-	-	-	-
RUBBED	1	-	-	-	-	-	-	6	-	-	-	-
SITTER	-	-	4	-	4	-	24	6	-	4	2	-
MINUTES	32	-	-	-	-	-	-	7	-	-	-	-
M	22	-	12	-	51	-	84	1	-	2	1	-
ITINERANT	-	-	1	-	1	-	1	9	-	9	4	11
PERFECT	4	-	13	613	45	404	58	7	-	6	2	628
EXCLAIM	-	-	1	-	1	-	1	7	-	7	2	411
TASTE	10	464	12	580	45	425	59	5	431	4	1	480
TRANSMITS	1	-	-	-	-	-	-	9	-	-	-	-
FRAME	1	562	12	494	42	508	74	5	-	4	1	335
MADAME	-	-	6	414	6	504	15	6	-	5	2	219
EASE	-	305	11	519	35	327	42	4	-	2	1	243
POPPED	-	-	-	-	-	-	-	6	-	-	-	-
BEAGLE	-	-	-	-	-	-	-	6	-	4	2	7
CONSIDERATE	-	-	3	-	4	-	4	11	-	10	4	43
TRANSPARENT	1	-	6	-	10	-	13	11	-	11	3	41
BATHTUB	-	-	-	-	-	-	-	7	-	-	-	-
PROPHYLACTIC	-	-	-	-	-	-	-	12	-	11	4	-
BOULEVARD	-	-	4	-	5	-	11	9	-	5	2	40
KNOCKER	-	-	-	352	-	-	-	7	-	4	2	13
STATION	6	572	13	548	49	554	105	7	485	6	2	612
BREATHTAKING	-	-	-	-	-	-	-	12	-	-	-	-
AISLE	-	509	5	503	5	528	6	5	400	2	1	72
TERMINATING	-	-	-	-	-	-	-	11	-	-	-	-
OUTDOOR	1	-	7	-	15	-	27	7	-	4	2	99
PSYCHOLOGICALLY	-	-	-	-	-	-	-	15	-	-	-	-
SETTLES	-	-	-	-	-	-	-	7	-	-	-	-
POINTS	12	-	-	-	-	-	-	6	-	-	-	-
RECREATIONAL	-	-	-	-	-	-	-	12	-	-	-	-
CONVERSE	1	-	5	-	5	-	5	8	-	6	2	35
IN	3123	278	15	616	500	334	21341	2	413	2	1	75253
ABSOLUTE	21	-	9	495	23	268	30	8	-	7	3	101
GRASS	-	599	12	587	34	602	53	5	512	4	1	253
COMPARABLE	1	-	7	-	37	-	41	10	-	9	4	30
AQUATIC	-	-	-	-	-	-	-	7	-	7	3	1
WAYNE	-	-	-	-	-	-	-	5	-	-	-	-
TRANSFERRED	-	-	-	-	-	-	-	11	-	-	-	-
SPIRITED	-	-	4	425	7	426	8	8	-	-	3	24
BESTED	-	-	1	-	1	-	1	6	-	-	2	-
SEATTLE	-	-	-	-	-	-	-	7	-	-	-	-
BRING	28	-	13	-	131	-	158	5	-	4	1	884
TRICK	-	391	6	531	12	459	15	5	-	4	1	336
VACATIONING	-	-	-	-	-	-	-	11	-	-	-	-
MARATHON	1	-	1	-	1	-	1	8	-	7	3	-
APPROACHING	4	-	-	-	-	-	-	11	-	-	-	-
AXIS	1	-	5	-	9	-	38	4	-	5	2	4
AUSTRALIAN	-	-	2	-	3	-	9	10	-	9	3	-
DEFINITION	2	262	8	519	26	224	38	10	-	9	4	26
PHONEY	1	-	-	-	-	-	-	6	-	4	2	-
EMBARRASSED	-	-	-	-	-	-	-	11	-	-	-	-
FIXATED	-	-	-	-	-	-	-	7	-	-	-	-
HEROIN	-	638	2	514	2	551	2	6	523	6	3	-
GUAVA	-	-	-	-	-	-	-	5	-	5	2	-
SIZED	-	-	4	-	4	-	4	5	-	-	2	-
DIGRESSIONS	1	-	-	-	-	-	-	11	-	-	-	-
PERPETUATING	-	-	-	-	-	-	-	12	-	-	-	-
INDICATING	-	-	-	-	-	-	-	10	-	-	-	-
MEDIATE	-	-	-	-	-	-	-	7	-	6	3	-
MASTERS	1	-	-	-	-	-	-	7	-	-	-	-
CURIOSITY	-	303	10	515	20	394	23	9	-	10	5	157
FOOL	7	354	10	551	30	436	37	4	468	3	1	1140
WITHERS	-	-	-	-	-	-	-	7	-	5	2	-
HINDUS	-	-	-	-	-	-	-	6	-	-	-	-
ALIBI	-	-	3	-	4	-	8	5	-	5	3	44
SUGAR	6	620	9	608	16	595	34	5	510	4	2	726
BREAK	10	360	13	529	77	398	88	5	390	4	1	889
EXUDE	1	-	-	-	-	-	-	5	-	6	2	3
TOMORROW	25	-	11	-	39	-	63	8	-	6	3	610
BREED	-	-	5	-	14	-	17	5	-	4	1	79
TOMATOES	1	-	-	-	-	-	-	8	-	-	-	-
FUMIGATED	-	-	-	-	-	-	-	9	-	-	-	-
RELIGION	2	375	14	565	44	434	119	8	534	7	3	165
REGISTER	1	500	13	471	21	483	26	8	-	7	3	177
OBVIOUS	21	-	14	-	74	-	92	7	-	6	2	177
TUB	-	-	5	-	9	-	13	3	-	3	1	90
SAFELY	-	-	-	-	-	-	-	6	-	-	-	-
SWELL	-	411	6	443	7	410	7	5	-	4	1	282
ACCIDENTALLY	3	-	-	-	-	-	-	12	-	-	-	-
CONFUSED	2	-	12	-	37	-	44	8	-	-	3	-
TRADITION	7	291	10	526	53	354	94	9	445	8	3	182
ROT	1	-	6	-	6	-	8	3	-	-	1	54
MANY	95	276	15	599	365	393	1030	4	459	4	2	3874
HUMANITY	1	381	8	526	21	442	28	8	498	9	4	105
FAULTED	1	-	-	-	-	-	-	7	-	-	-	-
REASONABLENESS	-	-	-	-	-	-	-	14	-	-	-	-
SEEKER	-	-	1	-	1	-	1	6	-	4	2	20
PREDICTIONS	1	-	-	-	-	-	-	11	-	-	-	-
PLAGUED	-	-	-	-	-	-	-	7	-	-	-	-
SWITCHED	1	-	-	-	-	-	-	8	-	-	-	-
ROUGHING	-	-	-	-	-	-	-	8	-	-	2	-
PLEASINGLY	-	-	-	-	-	-	-	10	-	-	-	-
ENGINEERING	5	-	8	-	16	-	46	11	-	-	4	79
ADVANCEMENT	-	-	5	-	9	-	10	11	-	10	3	23
DEALING	14	-	10	-	37	-	43	7	-	-	2	72
PEAR	1	634	4	567	4	590	6	4	494	2	1	62
BELLA	-	-	-	-	-	-	-	5	-	-	-	-
EVIDENTLY	-	-	-	-	-	-	-	9	-	-	-	-
PIER	-	588	3	436	3	545	3	4	380	2	1	61
MILLER	-	-	8	-	13	-	22	6	-	4	2	27
CHARCOAL	-	-	3	-	5	-	14	8	-	6	2	7
LAUGHS	1	-	-	-	-	-	-	6	-	-	-	-
MERMAIDS	-	-	-	-	-	-	-	8	-	-	-	-
ZIPPER	-	599	1	556	1	632	1	6	402	4	2	-
WILD	10	381	13	572	44	500	56	4	537	4	1	584
DEFILEMENT	-	-	-	-	-	-	-	10	-	9	3	-
MODERATE	-	-	9	-	17	-	22	8	-	7	3	109
ALONE	10	390	15	562	145	480	195	5	460	4	2	1315
TRON	-	-	-	-	-	-	-	4	-	-	1	-
SUPERSTITION	-	-	5	-	7	-	8	12	-	11	4	32
ITS	70	209	15	547	427	229	1858	3	279	2	1	5827
SALOON	-	575	6	381	10	608	12	6	-	5	2	95
CRAFT	-	464	10	487	16	429	23	5	-	5	1	104
DESTINY	-	-	7	-	18	-	22	7	-	7	3	100
EUROPEAN	-	-	8	-	30	-	61	8	-	8	4	-
FLATTERED	-	-	-	-	-	-	-	9	-	-	-	-
PROVIDING	2	-	-	-	-	-	-	9	-	-	-	-
GENEROUS	3	260	8	538	23	348	25	8	467	7	3	200
YIELD	-	-	9	-	22	-	35	5	-	4	1	179
ASSURED	3	-	13	-	37	-	39	7	-	-	3	19
KNOWS	30	-	-	-	-	-	-	5	-	-	-	-
CLING	-	-	6	-	6	-	6	5	-	4	1	172
UNTHINKABLE	-	-	2	-	3	-	3	11	-	9	4	19
MISSY	-	-	1	-	2	-	2	5	-	4	2	-
PRURIENT	-	-	1	-	1	-	1	8	-	8	2	-
CURRICULUM	3	-	5	-	10	-	16	10	-	10	4	15
INTEGRATE	-	-	4	-	6	-	7	9	-	8	3	-
WANDS	-	-	-	-	-	-	-	5	-	-	-	-
BOUNCER	-	-	-	-	-	-	-	7	-	5	2	-
SACKS	1	-	-	-	-	-	-	5	-	-	-	-
KISSING	-	-	5	-	6	-	6	7	-	-	2	-
PERFORMED	1	-	-	-	-	-	-	9	-	-	-	-
FLASHBACK	-	-	1	-	1	-	1	9	-	7	2	-
PARENTHETICAL	-	-	-	-	-	-	-	13	-	12	5	-
UNCERTAINTY	1	237	8	451	14	283	17	11	-	8	4	53
WELL	1753	467	15	550	383	522	897	4	418	3	1	6295
FORESKIN	-	-	-	-	-	-	-	8	-	6	2	-
SHOOTING	1	-	10	-	18	-	48	8	-	-	2	-
SENSING	-	-	-	-	-	-	-	7	-	-	-	-
EDWARD	-	-	7	-	24	-	45	6	-	-	2	-
FLAG	-	606	7	545	12	607	16	4	448	4	1	135
SHRINKING	-	-	-	-	-	-	-	9	-	-	-	-
LAYS	-	-	-	-	-	-	-	4	-	-	-	-
TYPE	34	376	13	567	114	395	200	4	438	3	1	788
UNATTRACTIVE	-	-	3	-	3	-	3	12	-	10	4	21
HEADLINE	-	-	3	-	4	-	4	8	-	6	2	59
SCATTERING	-	-	1	-	1	-	1	10	-	-	3	-
WOOL	1	608	7	540	10	586	10	4	-	3	1	181
BECOMES	6	-	-	-	-	-	-	7	-	-	-	-
ABBREVIATION	-	-	1	-	1	-	1	12	-	10	5	1
OCTOBER	16	-	11	-	34	-	51	7	-	6	3	-
THRUSH	-	-	2	-	2	-	2	6	-	4	1	5
REPAY	-	-	6	-	6	-	7	5	-	4	2	49
CLASSES	20	-	-	-	-	-	-	7	-	-	-	-
PONDERING	-	-	-	-	-	-	-	9	-	-	-	-
SLIPPING	-	-	-	-	-	-	-	8	-	-	-	-
DELIGHT	-	282	7	510	26	459	29	7	-	5	2	353
BOWLERS	-	-	-	-	-	-	-	7	-	-	-	-
LICENSED	-	-	3	-	4	-	6	8	-	-	3	-
AFFORD	7	-	12	-	34	-	40	6	-	4	2	393
DOCUMENTARY	1	-	3	-	3	-	4	11	-	12	5	-
CRAZY	4	-	12	-	28	-	34	5	-	5	2	428
CAPTAIN	-	534	10	498	24	497	85	7	438	6	2	671
FEROCITY	-	-	2	-	2	-	2	8	-	8	4	16
BEASTS	-	-	-	-	-	-	-	6	-	-	-	-
TRAITORS	-	-	-	-	-	-	-	8	-	-	-	-
DEFOLIATED	-	-	-	-	-	-	-	10	-	-	-	-
HOWLING	-	-	3	-	3	-	3	7	-	-	2	-
KISSES	-	-	-	-	-	-	-	6	-	-	-	-
CLASPS	-	-	-	-	-	-	-	6	-	-	-	-
PATENTLY	-	-	-	-	-	-	-	8	-	-	-	-
HAS	313	267	15	585	408	271	2439	3	283	3	1	7921
CRAWLING	-	-	-	-	-	-	-	8	-	-	-	-
SEVENTEEN	9	-	8	-	19	-	24	9	-	7	3	139
PLIGHT	-	-	5	-	7	-	7	6	-	4	1	47
POSTERIOR	-	-	2	-	3	-	6	9	-	8	3	2
SEDUCTIVE	-	-	2	-	2	-	2	9	-	8	3	12
CARPETS	-	-	-	-	-	-	-	7	-	-	-	-
CLOTHING	-	570	10	614	19	588	20	8	-	6	2	200
VERBAL	5	-	5	-	17	-	21	6	-	5	2	26
FENCE	1	597	10	526	19	611	30	5	431	4	1	256
EUPHEMISMS	-	-	-	-	-	-	-	10	-	-	-	-
EQUILIBRIUM	-	-	3	-	8	-	13	11	-	11	4	14
NURTURE	-	-	4	-	4	-	4	7	-	5	2	10
HUMOUR	4	309	1	555	1	462	1	6	-	5	2	-
ANALOGIES	3	-	-	-	-	-	-	9	-	-	-	-
INTRINSIC	-	-	2	-	5	-	5	9	-	9	3	9
ABACK	1	-	2	-	2	-	2	5	-	4	2	15
ALPHA	-	-	2	-	2	-	6	5	-	4	2	3
PROMISING	-	-	10	489	21	300	24	9	-	-	3	-
RESIGNED	1	-	4	-	8	-	9	8	-	-	3	-
ADVERTISING	6	-	-	-	-	-	-	11	-	-	-	-
KIDS	21	-	-	-	-	-	-	4	-	-	-	-
PROPOSITION	1	-	7	-	13	-	16	11	-	10	4	110
APPROPRIATE	8	-	10	-	49	-	68	11	-	-	3	110
APPROPRIATE	8	-	10	-	49	-	68	11	-	9	4	110
CRITICISM	15	316	7	518	34	333	40	9	432	10	4	110
OVERLAPPING	-	-	-	-	-	-	-	11	-	-	-	-
SCREWDRIVER	-	574	-	544	-	617	-	11	441	-	3	-
HELMET	-	602	1	528	1	620	1	6	436	6	2	48
DRIZZLY	-	-	1	-	1	-	1	7	-	6	3	-
MOUNTAINS	3	-	-	-	-	-	-	9	-	-	-	-
GROUND	13	558	15	574	109	513	186	6	442	5	1	739
TAKES	23	-	-	-	-	-	-	5	-	-	-	-
ASYLUM	-	-	1	-	1	-	1	6	-	6	3	23
WEAVER	-	-	1	-	3	-	4	6	-	4	2	30
ELOQUENCE	-	-	1	-	2	-	2	9	-	8	3	19
FACED	2	-	14	-	51	-	54	5	-	-	2	-
INTERJECTION	-	-	-	-	-	-	-	12	-	10	4	-
BRAVERY	-	261	3	466	4	450	4	7	-	7	3	12
INDEPENDENT	3	-	11	523	47	361	70	11	-	11	4	134
MEAL	8	602	8	603	20	573	30	4	548	3	1	609
